property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
25E9DA80-5525-555E-E063-4704A8C066F2,UB3 1QR,104,BOURNE AVENUE,F,2024-04-26,235000,,,,
1A0C5C63-8126-7CBE-E063-4804A8C06C96,UB3 1JB,60,BOTWELL COMMON ROAD,S,2024-04-26,230000,,,,
2D4D7608-93DE-BDF9-E063-4804A8C0672F,UB3 1FN,14,POWERHOUSE LANE,F,2024-04-26,271700,,,,
1A0C5C64-0047-7CBE-E063-4804A8C06C96,UB3 1NR,132,WENTWORTH CRESCENT,S,2024-04-26,499950,,,,
237B17FD-93E4-22AC-E063-4804A8C0EA3A,UB3 3PG,157,ABBOTSWOOD WAY,F,2024-04-26,239500,,,,
25E9DA81-E452-555E-E063-4704A8C066F2,UB3 4RA,139,ROSEVILLE ROAD,S,2024-04-29,660000,,,,
1A0C5C64-009B-7CBE-E063-4804A8C06C96,UB3 2LS,190,CHURCH ROAD,D,2024-04-30,1000000,,,,
2131FCF5-AAC3-86E8-E063-4804A8C0372B,UB3 5NG,29,BRENDON CLOSE,F,2024-04-30,208000,,,,
2F7F2B42-A21F-E08F-E063-4804A8C05A49,UB3 1FP,7,GRAMOPHONE LANE,F,2024-04-30,250000,,,,
237B17FE-3AB8-22AC-E063-4804A8C0EA3A,UB3 1TE,155,WALTHAM AVENUE,T,2024-05-02,490000,,,,
25E9DA80-58C5-555E-E063-4704A8C066F2,UB3 2RX,2A,QUEENS ROAD,S,2024-05-02,300000,,,,
1A0C5C63-E2DD-7CBE-E063-4804A8C06C96,UB3 4BN,2,COPTHORNE MEWS,T,2024-05-03,250000,,,,
25E9DA80-5536-555E-E063-4704A8C066F2,UB3 4QB,"GRIFFITHS COURT, 58",NESTLES AVENUE,F,2024-05-03,305000,,,,
237B17FD-91AD-22AC-E063-4804A8C0EA3A,UB3 2DD,4,REID CLOSE,F,2024-05-03,295000,,,,
1C3E72FF-0DC4-F410-E063-4804A8C0DFA6,UB3 2UB,22,MORGANS LANE,D,2024-05-10,410000,,,,
25E9DA80-5641-555E-E063-4704A8C066F2,UB3 2FH,"AQUA HOUSE, 46",VARCOE GARDENS,F,2024-05-10,260000,,,,
2859C1AB-7767-52B4-E063-4804A8C05948,UB3 1FP,7,GRAMOPHONE LANE,F,2024-05-13,317000,,,,
1A0C5C63-8131-7CBE-E063-4804A8C06C96,UB3 2HP,33,EAST AVENUE,S,2024-05-14,680000,,,,
1C3E72FD-C3EB-F410-E063-4804A8C0DFA6,UB3 2DJ,SUTCLIFFE HOUSE,ADDISON WAY,F,2024-05-15,122000,,,,
1C3E72FE-6551-F410-E063-4804A8C0DFA6,UB3 1NY,4,ELERS ROAD,S,2024-05-16,480000,,,,
237B17FD-92B1-22AC-E063-4804A8C0EA3A,UB3 2UJ,19,BARRA WOOD CLOSE,T,2024-05-17,460000,,,,
25E9DA81-1FCC-555E-E063-4704A8C066F2,UB3 1TQ,48,COLBROOK AVENUE,S,2024-05-17,512500,,,,
2ACACE8D-11D3-295E-E063-4804A8C0B0EB,UB3 1JW,51,BEECHWOOD AVENUE,T,2024-05-17,450000,,,,
1C3E72FF-0DFC-F410-E063-4804A8C0DFA6,UB3 4AQ,24,OAKINGTON AVENUE,S,2024-05-21,472000,,,,
237B17FE-E06D-22AC-E063-4804A8C0EA3A,UB3 2NE,5,CEDAR AVENUE,T,2024-05-21,444000,,,,
2859C1AB-7238-52B4-E063-4804A8C05948,UB3 5DS,234,HIGH STREET,F,2024-05-23,225000,,,,
2131FCF6-DD21-86E8-E063-4804A8C0372B,UB3 1ND,74,DAWLEY ROAD,S,2024-05-23,535000,,,,
2D4D7608-9410-BDF9-E063-4804A8C0672F,UB3 1FP,7,GRAMOPHONE LANE,F,2024-05-24,345000,,,,
1C3E72FE-64C7-F410-E063-4804A8C0DFA6,UB3 3AH,44,STIRLING ROAD,S,2024-05-24,300622,,,,
1EAE3DF7-6AE5-9EB1-E063-4704A8C09D02,UB3 3JT,49,HALSWAY,D,2024-05-31,600000,,,,
1C3E72FE-65F0-F410-E063-4804A8C0DFA6,UB3 2TL,74,HANOVER CIRCLE,S,2024-05-31,485000,,,,
2D4D7608-941A-BDF9-E063-4804A8C0672F,UB3 1FN,14,POWERHOUSE LANE,F,2024-05-31,250000,,,,
1C3E72FE-6642-F410-E063-4804A8C0DFA6,UB3 4AF,14,REPTON AVENUE,S,2024-05-31,425000,,,,
2859C1AC-3A9B-52B4-E063-4804A8C05948,UB3 5HQ,101,SAUNTON AVENUE,T,2024-06-03,397000,,,,
2ACACE8D-944F-295E-E063-4804A8C0B0EB,UB3 2SQ,129,WOOD END GREEN ROAD,T,2024-06-03,460000,,,,
1C3E72FF-0F29-F410-E063-4804A8C0DFA6,UB3 3LJ,35,MOUNT ROAD,S,2024-06-05,585000,,,,
25E9DA81-E5C0-555E-E063-4704A8C066F2,UB3 3JT,44,HALSWAY,S,2024-06-05,455000,,,,
25E9DA81-C083-555E-E063-4704A8C066F2,UB3 2LW,140A,CHURCH ROAD,F,2024-06-06,300000,,,,
1C3E72FE-6957-F410-E063-4804A8C0DFA6,UB3 4HB,101,CLEAVE AVENUE,T,2024-06-07,410000,,,,
2F7F2B42-A21B-E08F-E063-4804A8C05A49,UB3 1FN,14,POWERHOUSE LANE,F,2024-06-07,255000,,,,
36A61A94-410D-DEF2-E063-4704A8C046AE,UB3 4NY,3,FAIREY AVENUE,F,2024-06-10,332000,,,,
