certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
0348-2094-6253-9992-9950,W13 9QT,141A,NORTHFIELD AVENUE,43.0,,,
7391-3034-3209-0764-4204,W13 9DU,143,COLDERSHAW ROAD,169.0,,,
9578-3045-7269-4693-4924,W13 8DE,56,BELLEVUE ROAD,116.0,,,
0300-2078-8090-2329-0381,W13 9LF,4,MODEL COTTAGES,38.0,,,
1034-1229-9300-0531-4222,W13 9JA,72,WESTFIELD ROAD,103.0,,,
0759-3038-8206-5884-6200,W13 0EJ,90A,CLEVELAND ROAD,184.0,,,
0070-3104-4080-2229-9151,W13 0HE,86,CLEVELAND ROAD,225.0,,,
0380-2538-8130-2822-0855,W13 0DA,2,LONG ACRE COURT,53.0,,,
7890-7842-0232-8092-3943,W13 0NY,45,FELIX ROAD,133.0,,,
0665-3827-7325-9691-8795,W13 0HW,76,HIGHVIEW ROAD,200.0,,,
9428-1053-7285-1325-0974,W13 0JP,5,SAWYERS LAWN,46.0,,,
5100-8717-0322-3401-3143,W13 9UX,86A,MAYFIELD AVENUE,85.0,,,
2020-3902-6202-6440-9204,W13 9QL,5A,CAREW ROAD,88.0,,,
2360-3901-6209-1180-7204,W13 9AS,23,PRINCES ROAD,36.0,,,
9377-3039-6203-1854-9204,W13 9RN,23,ALTENBURG AVENUE,81.0,,,
0085-3008-5308-5034-2200,W13 0NY,1,FELIX ROAD,145.0,,,
9890-2132-0322-7022-3223,W13 9DF,83,ST KILDA ROAD,130.0,,,
0012-3039-4203-7624-8200,W13 8JZ,21,COLEBROOKE AVENUE,278.0,,,
9100-2247-0022-4021-0723,W13 0SP,23,BEDFORD ROAD,69.0,,,
1534-8025-7300-0215-8292,W13 8QY,10B,HASTINGS ROAD,76.0,,,
0370-2058-6430-2194-6015,W13 8PQ,31,ALBANY ROAD,121.0,,,
9370-2455-3390-2297-5211,W13 9TF,9,BELSIZE AVENUE,111.0,,,
