unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,paon,street,transaction_category
152AB733-891C-E651-E063-4704A8C061D9,355000,2024-02-22,SL6 0FD,F,,F,LANSDOWNE PLACE,INSTITUTE ROAD,A
152AB733-828C-E651-E063-4704A8C061D9,535000,2024-02-22,SL6 7PW,S,,F,22,CULHAM DRIVE,A
12A8BAB5-E3C8-2125-E063-4804A8C08CC1,347000,2024-02-23,SL6 8PX,T,,F,42,RAY STREET,A
1C3E72FD-D402-F410-E063-4804A8C0DFA6,390000,2024-02-23,SL6 9JE,T,,F,1,FAIR VIEW COTTAGES,A
1EAE3DF6-31EC-9EB1-E063-4704A8C09D02,285000,2024-02-23,SL6 1AQ,F,,F,BLENHEIM COURT,KINGSQUARTER,A
152AB734-6B64-E651-E063-4704A8C061D9,535000,2024-02-23,SL6 0GA,T,,F,19,CLIVEDEN GAGES,B
2F7F2B42-B3DD-E08F-E063-4804A8C05A49,330000,2024-02-23,SL6 0FN,F,,F,JUBILEE HOUSE,CORNWALL GARDENS,A
1C3E72FD-D3A4-F410-E063-4804A8C0DFA6,492500,2024-02-23,SL6 7QN,T,,F,54,CANNON COURT ROAD,A
152AB734-6AA7-E651-E063-4704A8C061D9,345000,2024-02-23,SL6 8DJ,F,,F,"KESTREL COURT, 4",HERON WAY,B
1EAE3DF6-3352-9EB1-E063-4704A8C09D02,735000,2024-02-23,SL6 5BL,D,,F,17,HAVELOCK CRESCENT,A
2ACACE8C-939D-295E-E063-4804A8C0B0EB,355000,2024-02-23,SL6 1BT,F,,F,RIALTO,CANAL SIDE,A
1775CCF7-D783-38BA-E063-4704A8C05A7C,210000,2024-02-26,SL6 4JF,F,,F,3,CROXLEY RISE,B
1C3E72FD-D1DC-F410-E063-4804A8C0DFA6,520000,2024-02-26,SL6 6SP,D,,F,10,BROMPTON DRIVE,A
25E9DA80-6B23-555E-E063-4704A8C066F2,290000,2024-02-27,SL6 1PP,F,,F,WINBURY COURT,WEST ROAD,A
1775CCF6-E63A-38BA-E063-4704A8C05A7C,400000,2024-02-27,SL6 8NJ,F,,F,HITCHAM COURT,RAY MEAD ROAD,A
3DCCB7C9-A251-5B9D-E063-4704A8C0331E,1650000,2024-02-28,SL6 3RU,D,,F,BEYNHURST HOUSE,INNINGS LANE,A
1EAE3DF6-333E-9EB1-E063-4704A8C09D02,750000,2024-02-28,SL6 8EU,D,,F,5,THE PAGODA,A
1EAE3DF6-3196-9EB1-E063-4704A8C09D02,235000,2024-02-29,SL6 7RL,F,,F,1,HORSLEY ROAD,A
2F7F2B42-AE74-E08F-E063-4804A8C05A49,370000,2024-02-29,SL6 1BT,F,,F,RIALTO,CANAL SIDE,A
2ACACE8C-939E-295E-E063-4804A8C0B0EB,355000,2024-02-29,SL6 7HZ,F,,F,"BRIDGEND HOUSE, 4",ISAMBARD CLOSE,A
1EAE3DF7-4B09-9EB1-E063-4704A8C09D02,545000,2024-02-29,SL6 0PF,S,,F,14,HURSTFIELD DRIVE,B
152AB733-87E8-E651-E063-4704A8C061D9,460000,2024-02-29,SL6 0NA,S,,F,29,MAYPOLE ROAD,A
1EAE3DF6-2F50-9EB1-E063-4704A8C09D02,495000,2024-02-29,SL6 6SW,S,,F,62,BEVERLEY GARDENS,A
152AB733-860D-E651-E063-4704A8C061D9,720000,2024-02-29,SL6 5EH,S,,F,10,ALWYN ROAD,A
1EAE3DF6-2EEC-9EB1-E063-4704A8C09D02,915000,2024-02-29,SL6 6HD,D,,F,1,LINDEN AVENUE,A
2859C1AB-830A-52B4-E063-4804A8C05948,370000,2024-02-29,SL6 7JB,T,,F,10,WEST DEAN,A
2859C1AB-875E-52B4-E063-4804A8C05948,1525000,2024-03-01,SL6 8QU,D,,F,GREENDALE,RAY PARK ROAD,A
152AB733-8366-E651-E063-4704A8C061D9,140000,2024-03-01,SL6 1YZ,F,,F,31,SWANBROOK COURT,A
1EAE3DF6-2EFA-9EB1-E063-4704A8C09D02,495000,2024-03-01,SL6 6BQ,S,,F,5,BELMONT VALE,A
1EAE3DF6-2FBA-9EB1-E063-4704A8C09D02,765000,2024-03-01,SL6 6JP,D,,F,2,PARKSIDE,A
152AB733-85AB-E651-E063-4704A8C061D9,480000,2024-03-01,SL6 6DZ,T,,F,60,PORTLOCK ROAD,A
152AB733-83DD-E651-E063-4704A8C061D9,970000,2024-03-01,SL6 9ES,S,,F,STEPPES,LOWER ROAD,A
1775CCF6-E5A4-38BA-E063-4704A8C05A7C,462500,2024-03-01,SL6 5BN,S,,F,1,PINE CLOSE,A
1EAE3DF6-3046-9EB1-E063-4704A8C09D02,460000,2024-03-01,SL6 6AN,T,,F,20,LYNTON GREEN,A
1775CCF6-E5BF-38BA-E063-4704A8C05A7C,520000,2024-03-01,SL6 6LE,S,,F,25D,DERWENT DRIVE,A
1EAE3DF6-2F8A-9EB1-E063-4704A8C09D02,745000,2024-03-01,SL6 6SS,D,,F,64,CRANBROOK DRIVE,A
1EAE3DF6-316B-9EB1-E063-4704A8C09D02,665000,2024-03-01,SL6 1LH,S,,F,1,MOORLAND WAY,A
36A61A94-4AC8-DEF2-E063-4704A8C046AE,185000,2024-03-01,SL6 4FW,F,,F,MAIDEN HOUSE,VANWALL ROAD,A
1A0C5C63-0C0A-7CBE-E063-4804A8C06C96,380000,2024-03-04,SL6 1SU,T,,F,9,FOTHERBY COURT,A
2D4D7608-A13E-BDF9-E063-4804A8C0672F,273500,2024-03-04,SL6 7HZ,F,,F,"BRIDGEND HOUSE, 4",ISAMBARD CLOSE,A
1775CCF6-E451-38BA-E063-4704A8C05A7C,210000,2024-03-04,SL6 8DH,F,,F,24,IN THE RAY,A
1A0C5C63-0BD8-7CBE-E063-4804A8C06C96,570000,2024-03-05,SL6 3DR,S,,F,28,MERCIA ROAD,A
402A3A66-AF69-A7DF-E063-4804A8C0B80D,115000,2024-03-05,SL6 9EB,O,,F,16A,SOUTHWOOD GARDENS,B
402A3A66-AF8A-A7DF-E063-4804A8C0B80D,115000,2024-03-05,SL6 9EB,O,,F,16A,SOUTHWOOD GARDENS,B
1775CCF6-ECEF-38BA-E063-4704A8C05A7C,1401718,2024-03-07,SL6 0PQ,D,,F,HUNTERCOMBE FARM HOUSE,HUNTERCOMBE LANE SOUTH,A
31C68071-C542-FEE3-E063-4804A8C04F37,330000,2024-03-08,SL6 0FS,F,,F,SPURLAND HOUSE,CORNWALL GARDENS,A
2131FCF5-B385-86E8-E063-4804A8C0372B,390000,2024-03-08,SL6 3YR,S,,F,18,CADWELL DRIVE,A
2131FCF5-B57A-86E8-E063-4804A8C0372B,735000,2024-03-08,SL6 6DF,D,,F,21,RAYMOND ROAD,A
1EAE3DF6-2ED2-9EB1-E063-4704A8C09D02,465000,2024-03-08,SL6 3YN,S,,F,4,GAINSBOROUGH DRIVE,A
1C3E72FD-D334-F410-E063-4804A8C0DFA6,400000,2024-03-08,SL6 3BG,S,,F,65,ST CHADS ROAD,A
1A0C5C63-0BC6-7CBE-E063-4804A8C06C96,925000,2024-03-08,SL6 4LZ,D,,F,6,TALBOTS DRIVE,A
1EAE3DF6-2EE0-9EB1-E063-4704A8C09D02,555000,2024-03-08,SL6 3YW,D,,F,15,KELSEY CLOSE,A
1EAE3DF6-3115-9EB1-E063-4704A8C09D02,420000,2024-03-08,SL6 6DF,T,,F,6,RAYMOND ROAD,A
