certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
7307-2229-5210-0999-3272,SL6 2QZ,KINGFISHER HOUSE,HARVEST HILL ROAD,203.0,,,
8900-4062-0322-3295-3873,SL6 8QQ,7,PRINCE ANDREW ROAD,92.0,,,
8250-6321-7570-4954-4296,SL6 4AW,3,WESTBOROUGH ROAD,95.0,,,
2734-5929-7300-0671-3292,SL6 1HQ,12,GRENFELL AVENUE,83.0,,,
0422-3931-3209-3847-8200,SL6 2NN,OAK DENE,FOREST GREEN ROAD,151.0,,,
0300-2518-6320-2704-7431,SL6 9JL,LORELEI COTTAGE,GRAHAM ROAD,81.0,,,
0380-2981-7210-2502-6055,SL6 9HS,1,RILEY COTTAGES,57.0,,,
2304-3028-7203-8817-0204,SL6 7BT,57,CORDWALLIS ROAD,67.0,,,
2819-3034-5209-8084-2200,SL6 8NE,2,LASSELL COURT,91.0,,,
0360-2531-7430-2194-7071,SL6 6SW,78,BEVERLEY GARDENS,60.0,,,
7011-3014-5002-0393-8006,SL6 7HR,114,COOKHAM ROAD,53.0,,,
7637-0329-0309-0046-2292,SL6 1RX,35,FORLEASE ROAD,98.0,,,
4912-3029-6000-0363-8202,SL6 8SL,78,RAY MILL ROAD WEST,65.0,,,
9465-3932-0209-9097-2204,SL6 1RX,33,FORLEASE ROAD,86.0,,,
8600-2621-0732-2298-3573,SL6 3JD,FIELD HOUSE,WALTHAM ROAD,181.0,,,
9330-2032-3300-2197-0121,SL6 6HA,8,CAMDEN ROAD,97.0,,,
0243-1208-9709-4935-0100,SL6 2YR,7,ARKLEY COURT,90.0,,,
2231-3008-4203-5839-5204,SL6 7JH,108,NORTH TOWN ROAD,43.0,,,
0380-2799-2310-2327-2041,SL6 3JQ,2,CHURCH VIEW,77.0,,,
3630-0021-6000-0023-0292,SL6 3PP,17,PHEASANTS CROFT,100.0,,,
4037-9127-0200-0220-5226,SL6 0DB,5,STOCKWELLS,122.0,,,
0075-2808-7369-2590-8465,SL6 2BG,LOWRIES,OLD MILL LANE,110.0,,,
2348-3034-7209-0444-1204,SL6 5AA,4,HIGHWAY ROAD,89.0,,,
4134-0122-3300-0559-5222,SL6 2LD,31,STOMPITS ROAD,112.0,,,
8148-6027-6190-2429-6922,SL6 3QG,CASTLEVIEW,CHERRY GARDEN LANE,175.0,,,
0140-2509-0168-2522-8091,SL6 3NP,MERSON,SMITHFIELD ROAD,69.0,,,
9142-3034-6202-9304-9200,SL6 2LQ,24,NEW ROAD,117.0,,,
2040-3024-4202-6847-3204,SL6 6QW,SCHOOL COTTAGE,HENLEY ROAD,130.0,,,
0330-2826-9310-2007-6051,SL6 2NX,BYWAYS COTTAGE,FIFIELD ROAD,217.0,,,
2515-3008-1203-5769-4200,SL6 3NH,16,WALTHAM ROAD,121.0,,,
4136-7025-9600-0459-2202,SL6 2LR,64,TRENCHARD ROAD,105.0,,,
6600-0367-0522-6324-3743,SL6 4AW,9,WESTBOROUGH ROAD,91.0,,,
9378-0076-7254-3855-1964,SL6 6EG,39,POWNEY ROAD,81.0,,,
8590-9505-4529-5827-6233,SL6 3DW,95,WESSEX WAY,128.0,,,
0921-1208-5704-6635-0400,SL6 3BA,80,ST CHADS ROAD,79.0,,,
9935-2806-7796-9324-0821,SL6 3AH,14,WINCHESTER DRIVE,118.0,,,
0985-1208-4407-5438-0200,SL6 3PX,19,CULLEY WAY,120.0,,,
5115-3064-6002-0399-8306,SL6 8PX,36,RAY STREET,69.0,,,
9140-2201-6000-2100-7871,SL6 6HA,HEATHERSIDE,CAMDEN ROAD,107.0,,,
5537-1924-7200-0663-5296,SL6 0LH,12,CLARE ROAD,110.0,,,
9678-3030-3201-9247-1204,SL6 8DH,3,IN THE RAY,103.0,,,
3300-8665-8622-9029-1373,SL6 3HR,7,TREESMILL DRIVE,86.0,,,
9026-1208-6705-6531-0504,SL6 3HS,70,TREESMILL DRIVE,95.0,,,
8492-2802-4929-2297-2943,SL6 3PR,51,BARN DRIVE,137.0,,,
0390-2385-5390-2124-8431,SL6 0LB,77,CONWAY ROAD,53.0,,,
2912-9521-0080-0160-3272,SL6 8TR,16,BOULTERS GARDENS,121.0,,,
0946-2863-7533-9226-0981,SL6 7PW,38,CULHAM DRIVE,81.0,,,
0330-2510-7390-2024-4481,SL6 3BB,23,ST DAVIDS CLOSE,101.0,,,
8404-1875-0029-6326-7443,SL6 7UU,79,HUNGERFORD DRIVE,65.0,,,
0310-2804-2430-2324-7051,SL6 7PA,68,HARROW LANE,149.0,,,
8350-7328-7850-2135-7206,SL6 6DZ,42,PORTLOCK ROAD,87.0,,,
0160-2379-1088-2607-9361,SL6 5AU,5A,WESTFIELD ROAD,223.0,,,
0226-3931-3209-4367-8200,SL6 4RE,47,GREAT HILL CRESCENT,84.0,,,
2190-8937-0822-3304-3973,SL6 2YT,1,TITHE CLOSE,101.0,,,
6700-1561-0422-4197-3623,SL6 7GW,9,DALBY GARDENS,88.0,,,
9340-2881-7090-2590-8165,SL6 4SA,20,LANCASTRIA MEWS,46.0,,,
0249-2887-6993-9221-4611,SL6 2EL,7,PRIORS WAY,77.0,,,
4090-0913-0222-0307-3073,SL6 6NA,24,ALL SAINTS AVENUE,186.0,,,
2508-9029-7279-3515-5974,SL6 6SL,40,HEMSDALE,89.0,,,
9370-2069-9300-2777-6145,SL6 2UA,2,BROADWATER PARK,127.0,,,
9635-2819-7890-9724-8541,SL6 2TJ,11,FETTY PLACE,86.0,,,
0345-3029-3208-2327-1200,SL6 2TL,16,FANE WAY,82.0,,,
0380-2899-0370-2794-3535,SL6 5JG,5,TRURO CLOSE,66.0,,,
2049-3039-3209-6706-5200,SL6 0PE,580,BATH ROAD,165.0,,,
0370-2666-2370-2324-5671,SL6 2PD,23,STEWART CLOSE,148.0,,,
7700-3159-0532-7096-3943,SL6 6AB,8A,THE CRESCENT,211.0,,,
2334-8129-5300-0235-4222,SL6 0NA,123,MAYPOLE ROAD,73.0,,,
2515-3057-6002-0300-8692,SL6 8QF,62,RAY LEA ROAD,107.0,,,
0375-2801-7535-2800-7935,SL6 2DW,120,WINDSOR ROAD,140.0,,,
0882-1003-4288-2827-5200,SL6 7UR,13,BURCOT GARDENS,62.0,,,
9312-2027-6000-0328-8206,SL6 3XU,24,PURSSELL CLOSE,56.0,,,
1434-9827-0300-0339-5292,SL6 2YX,15,LONSDALE WAY,62.0,,,
0150-2950-7088-2672-9385,SL6 2LD,99,STOMPITS ROAD,196.0,,,
